epoch,accuracy,loss,val_accuracy,val_loss
0,0.7754999995231628,0.580262303352356,0.9037500023841858,0.25516924262046814
1,0.859000027179718,0.33839836716651917,0.8849999904632568,0.27279192209243774
2,0.8960000276565552,0.2592574656009674,0.90625,0.243974968791008
3,0.9085000157356262,0.23307138681411743,0.8974999785423279,0.2569308876991272
4,0.9204999804496765,0.213049978017807,0.9075000286102295,0.26896417140960693
5,0.9210000038146973,0.19173333048820496,0.8949999809265137,0.29038098454475403
6,0.9259999990463257,0.1753237396478653,0.8675000071525574,0.41018691658973694
7,0.9424999952316284,0.1582195907831192,0.887499988079071,0.31509169936180115
8,0.9455000162124634,0.13929325342178345,0.8974999785423279,0.30300185084342957
9,0.9505000114440918,0.1322774440050125,0.8987500071525574,0.31884080171585083
